Company,Address_Line_1,City,State,ZipCode,Zip4,County_Code,Area_Code,IDCode,Location_Employee_Size_Code,Location_Sales_Volume_Code,Primary_SIC_Code,SIC6_Descriptions,Primary_NAICS_Code,NAICS8_Descriptions,SIC_Code,SIC6_Descriptions_SIC,SIC_Code_1,SIC6_Descriptions_SIC1,SIC_Code_2,SIC6_Descriptions_SIC2,SIC_Code_3,SIC6_Descriptions_SIC3,SIC_Code_4,SIC6_Descriptions_SIC4,Yellow_Page_Code,Employee_Size_Location,Sales_Volume_Location,Business_Status_Code,Industry_Specific_First_Byte,Year_Established,Office_Size_Code,Company_Holding_Status,ABI,Subsidiary_Number,Parent_Number,Parent_Actual_Employee_Size,Parent_Actual_Sales_Volume,Parent_Employee_Size_Code,Parent_Sales_Volume_Code,Site_Number,Address_Type_Indicator,Population_Code,Census_Tract,Census_Block,Latitude,Longitude,Match_Code,CBSA_Code,CBSA_Level,CSA_Code,FIPS_Code,archive_version_year
MICHAEL'S CUSTOM CUT,4002 SPRUCE ST,PHILADELPHIA,PA,19104,6607,101,215,2,A,A,723106,BEAUTY SALONS,81211202,BEAUTY SALONS,,,,,,,,,,,07204,4,192,9,,,,,120734538,,,,,,,,,9,008800,4,039.951520,-075.203340,P,37980,2,428,42101,2014
HIGH TECH CAR WASH,4131 CHESTNUT ST,PHILADELPHIA,PA,19104,3012,101,215,2,C,A,754201,CAR WASHING & POLISHING,81119208,CAR WASHES,,,,,,,,,,,13102,10,470,9,,,,,120734611,,,,,,,,,9,008700,1,039.956171,-075.205724,0,37980,2,428,42101,2014
MONTESSORI GENESIS II,631 N 39TH ST,PHILADELPHIA,PA,19104,1857,101,215,2,C,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,835102,SCHOOLS-NURSERY & KINDERGARTEN ACADEMIC,,,,,,,,,,12,,9,,,,,120734702,,,,,,,,,9,010800,5,039.964079,-075.199674,0,37980,2,428,42101,2014
MT OLIVE BAPTIST CHURCH,638 N 37TH ST # 42,PHILADELPHIA,PA,19104,1949,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,C,1929,,,120734785,,,,,,,,,9,010800,3,039.964830,-075.196430,P,37980,2,428,42101,2014
MURRY'S,4077 LANCASTER AVE,PHILADELPHIA,PA,19104,1747,101,215,2,C,G,514101,FOOD PRODUCTS (WHLS),42442005,PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,541105,GROCERS-RETAIL,542107,MEAT-RETAIL,,,,,,,,17,35117,2,,,,,120734900,,122533953,250,,G,,,,9,010700,4,039.965030,-075.204610,P,37980,2,428,42101,2014
BETHEL HIGHWAY CHURCH-CHRIST,4221 ASPEN ST,PHILADELPHIA,PA,19104,1454,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,2,,,,120735048,,,,,,,,,9,010600,1,039.965990,-075.208740,P,37980,2,428,42101,2014
NEW STYLE PIZZA,4060 CHESTNUT ST,PHILADELPHIA,PA,19104,3020,101,215,2,A,A,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,581206,FOODS-CARRY OUT,581208,RESTAURANTS,,,,,,,,1,46,9,,,,,120735147,,,,,,,,,9,008800,6,039.955680,-075.204670,P,37980,2,428,42101,2014
PARK DELI,4204 CHESTER AVE,PHILADELPHIA,PA,19104,4416,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,581209,DELICATESSENS,,,,,,,,,,2,93,9,,,,,120735436,,,,,,,,,9,007700,1,039.948100,-075.207430,P,37980,2,428,42101,2014
PENN CAMPUS HAIR SKIN NAIL SLN,3730 SPRUCE ST,PHILADELPHIA,PA,19104,4115,101,215,2,C,A,724101,BARBERS,81211101,BARBER SHOPS,,,,,,,,,,,06508,10,450,9,,,,,120735527,,,,,,,,,9,007600,1,039.950988,-075.197809,0,37980,2,428,42101,2014
PENN JERSEY BUILDING MNTNC,3917 BARING ST,PHILADELPHIA,PA,19104,4619,101,215,2,D,C,734902,JANITOR SERVICE,56172001,JANITORIAL SERVICES,,,,,,,,,,,44108,30,1836,9,,1920,,,120735568,,,,,,,,,9,009100,5,039.960710,-075.200930,P,37980,2,428,42101,2014
PENNSYLVANIA DENTAL GROUP LTD,3700 MARKET ST # 101,PHILADELPHIA,PA,19104,3173,101,215,2,C,C,802101,DENTISTS,62121003,OFFICES OF DENTISTS,,,,,,,,,,,23908,13,1630,9,2,,,,120735626,,,,,,,120735626,,9,008800,1,039.956020,-075.196620,P,37980,2,428,42101,2014
PENNSYLVANIA BOOK CTR,130 S 34TH ST,PHILADELPHIA,PA,19104,3401,101,215,2,B,C,594201,BOOK DEALERS-RETAIL,45121105,BOOK STORES,,,,,,,,,,,09206,8,1093,9,,1962,,,120735667,,,,,,,,,9,008900,3,039.953757,-075.192039,0,37980,2,428,42101,2014
PEOPLE'S EMERGENCY CTR,3902 SPRING GARDEN ST,PHILADELPHIA,PA,19104,4697,101,215,2,D,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,32,,9,,,,,120735691,,,,,,,,,9,009100,5,039.961820,-075.200110,P,37980,2,428,42101,2014
PHILAPOSH PHILADELPHIA AREA,3001 WALNUT ST # 5,PHILADELPHIA,PA,19104,3414,101,215,2,A,,839919,CHARITABLE INSTITUTIONS,81331104,HUMAN RIGHTS ORGANIZATIONS,999966,FEDERAL GOVERNMENT CONTRACTORS,874208,SAFETY CONSULTANTS,,,,,,,14702,3,,9,,,,,120735915,,,,,,,,,9,008900,1,039.951960,-075.184299,0,37980,2,428,42101,2014
PHILADELPHIA SCHOOL OF DANCE,9 N PRESTON ST # 13,PHILADELPHIA,PA,19104,2210,101,215,2,D,C,791101,DANCING INSTRUCTION,61161011,FINE ART SCHOOLS,,,,,,,,,,,23318,20,1151,9,,,,,120735931,,,,,,,,,9,009200,4,039.958061,-075.203352,0,37980,2,428,42101,2014
UNIVERSITY OF THE SCIENCES,600 S 43RD ST,PHILADELPHIA,PA,19104,4495,101,215,2,H,,821103,SCHOOLS,61111007,ELEMENTARY & SECONDARY SCHOOLS,594201,BOOK DEALERS-RETAIL,809936,HEALTH EDUCATION,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,822298,JUNIOR COLLEGES & TECHNICAL INSTITUTES,839998,NON-PROFIT ORGANIZATIONS,74408,750,,9,B,,,,120735980,,,,,,,120735980,,9,007700,1,039.946899,-075.208906,0,37980,2,428,42101,2014
PLEASANT GROVE BAPTIST CHURCH,3909 LANCASTER AVE,PHILADELPHIA,PA,19104,4605,101,215,2,C,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,15,,9,C,,,,120736103,,,,,,,,,9,010800,4,039.962080,-075.200050,P,37980,2,428,42101,2014
RADIO CHURCH OF GOD,4105 CHESTNUT ST,PHILADELPHIA,PA,19104,3058,101,215,2,A,,866104,CHURCH ORGANIZATIONS,81311006,RELIGIOUS ORGANIZATIONS,866107,CHURCHES,,,,,,,,,,3,,9,,,,,120736392,,,,,,,,,9,008700,1,039.956048,-075.204764,0,37980,2,428,42101,2014
RADIOSHACK,212 S 40TH ST,PHILADELPHIA,PA,19104,3512,101,215,2,B,C,573117,ELECTRONIC EQUIPMENT & SUPPLIES-RETAIL,44314207,ELECTRONIC STORES,599902,CELLULAR TELEPHONES-EQUIPMENT & SUPLS,573407,COMPUTER & EQUIPMENT DEALERS,504507,DATA PROCESSING EQUIPMENT (WHLS),,,,,,5,1042,2,R,,,,120736400,,007536287,2300,,I,,,,9,008800,4,039.952884,-075.202969,0,37980,2,428,42101,2014
ABYSSINIA ETHIOPIAN RESTAURANT,229 S 45TH ST,PHILADELPHIA,PA,19104,2918,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,4,187,9,,,,,120736467,,,,,,,,,9,008700,5,039.954150,-075.211610,P,37980,2,428,42101,2014
ROYAL PIZZA,4202 BALTIMORE AVE,PHILADELPHIA,PA,19104,4412,101,215,2,A,A,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,581208,RESTAURANTS,,,,,,,,,66000,1,46,9,,,,,120736657,,,,,,,,,9,007700,1,039.949689,-075.207229,0,37980,2,428,42101,2014
ST ANTHONY HALL,3637 LOCUST WALK,PHILADELPHIA,PA,19104,3876,101,215,2,A,,864107,FRATERNITIES & SORORITIES,81341006,CIVIL & SOCIAL ORGANIZATIONS,,,,,,,,,,,34400,2,,9,,,,,120736723,,,,,,,120736723,,9,008900,2,039.952238,-075.196137,0,37980,2,428,42101,2014
JOHN F SCANLAN INC,1238 BELMONT AVE,PHILADELPHIA,PA,19104,1001,101,215,2,D,F,508417,FANS-INDUSTRIAL & COMMERCIAL (WHLS),42383021,INDUSTRIAL MACHINERY & EQUIPMENT MERCHANT WHLSRS,572209,DEHUMIDIFYING EQUIPMENT,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,40,11100,9,,,,,120736921,,,,,,,,,9,011100,1,039.974453,-075.212677,0,37980,2,428,42101,2014
SCHEIE EYE INSTITUTE,51 N 39TH ST # 501,PHILADELPHIA,PA,19104,2689,101,215,2,G,H,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),801111,OPHTHALMOLOGISTS,,,,,,,,,62306,400,70181,9,P,,,,120736947,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
SECOND MILE CTR,214 S 45TH ST,PHILADELPHIA,PA,19104,2919,101,215,2,D,C,593222,THRIFT SHOPS,45331041,USED MERCHANDISE STORES,,,,,,,,,,,85808,30,2490,9,,,,,120736962,,,,,,,,,9,008600,3,039.954720,-075.212160,P,37980,2,428,42101,2014
SECOND MT ZION BAPTIST CHURCH,3814 PARRISH ST,PHILADELPHIA,PA,19104,1631,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,C,,,,120736970,,,,,,,,,9,010800,1,039.968730,-075.199119,P,37980,2,428,42101,2014
7-ELEVEN,106 S 38TH ST,PHILADELPHIA,PA,19104,3152,101,215,2,B,C,541103,CONVENIENCE STORES,44512001,CONVENIENCE STORES,541105,GROCERS-RETAIL,581206,FOODS-CARRY OUT,581222,PIZZA,,,,,,6,1527,2,W,,,,120737002,,005863311,800,,H,,,,9,008800,1,039.954380,-075.198666,0,37980,2,428,42101,2014
7-ELEVEN,3401 LANCASTER AVE,PHILADELPHIA,PA,19104,4914,101,215,2,C,D,541103,CONVENIENCE STORES,44512001,CONVENIENCE STORES,541105,GROCERS-RETAIL,,,,,,,,,,18,4583,2,W,,,,120737028,,005863311,800,,H,,,,9,009000,4,039.957620,-075.191380,P,37980,2,428,42101,2014
SHEINMAN PROVISION CO,4192 VIOLA ST,PHILADELPHIA,PA,19104,1093,101,215,2,A,C,201398,SAUSAGES/OTHER PREPARED MEAT PROD (MFRS),31161207,MEAT PROCESSED FROM CARCASSES,542108,SAUSAGES,542107,MEAT-RETAIL,,,,,,,,4,1504,9,,1922,,,120737069,,,,,,,,,9,011000,3,039.975195,-075.209507,P,37980,2,428,42101,2014
SMOKEY JOE'S,208 S 40TH ST # 2,PHILADELPHIA,PA,19104,3590,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,581301,BARS,,,,,,,,,,4,187,9,,,,,120737366,,,,,,,,,9,008800,4,039.952939,-075.202958,0,37980,2,428,42101,2014
SPIRO'S CORNER RESTAURANT,3962 W GIRARD AVE,PHILADELPHIA,PA,19104,1137,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,4,187,9,,,,,120737457,,,,,,,,,9,011000,4,039.973860,-075.204080,P,37980,2,428,42101,2014
SPRUCE HILL COMMUNITY ASSN,257 S 45TH ST,PHILADELPHIA,PA,19104,2950,101,215,2,A,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,,,,,,,,,,1,,9,,,,,120737515,,,,,,,,,9,008700,5,039.953350,-075.211850,P,37980,2,428,42101,2014
ST JUDE BAPTIST CHURCH,632 N 38TH ST,PHILADELPHIA,PA,19104,1869,101,215,2,B,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,6,,9,C,,,,120737614,,,,,,,,,9,010800,5,039.964568,-075.197750,0,37980,2,428,42101,2014
ST PAUL UH CHURCH,3832 HAVERFORD AVE,PHILADELPHIA,PA,19104,1824,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,2,,9,2,,,,120737648,,,,,,,,,9,010800,4,039.963200,-075.198100,P,37980,2,428,42101,2014
STEPHEN SMITH TOWERS APTS,1030 BELMONT AVE,PHILADELPHIA,PA,19104,1299,101,215,2,B,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,651303,APARTMENTS,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,8,,9,,,,,120737788,,,,,,,,,9,010500,1,039.972610,-075.212550,P,37980,2,428,42101,2014
CARING CENTER,3101 SPRING GARDEN ST,PHILADELPHIA,PA,19104,2571,101,215,2,D,C,835102,SCHOOLS-NURSERY & KINDERGARTEN ACADEMIC,62441006,CHILD DAY CARE SERVICES,839998,NON-PROFIT ORGANIZATIONS,,,,,,,,,74506,40,1660,9,,,,,120738059,,,,,,,,,9,010900,3,039.963640,-075.187830,P,37980,2,428,42101,2014
NATURAL SHOE STORE INC,226 S 40TH ST,PHILADELPHIA,PA,19104,3512,101,215,2,A,A,566101,SHOES-RETAIL,44821007,SHOE STORES,,,,,,,,,,,77002,1,146,9,,,,,120738067,,,,,,,,,9,008800,4,039.952691,-075.203009,0,37980,2,428,42101,2014
TRADE WINDS AQUARIUM & PET CTR,29 S 40TH ST,PHILADELPHIA,PA,19104,3042,101,215,2,A,A,599930,PET SHOPS,45391003,PET & PET SUPPLIES STORES,,,,,,,,,,,60500,1,222,9,,,,,120738240,,,,,,,,,9,008800,6,039.956333,-075.201997,0,37980,2,428,42101,2014
TRUE MISSION HOLY CHURCH,3931 LANCASTER AVE,PHILADELPHIA,PA,19104,4637,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,2,,,,120738307,,,,,,,,,9,010800,4,039.962560,-075.200750,P,37980,2,428,42101,2014
PENN DENTAL-ROBERT SCHATTNER,240 S 40TH ST # 3,PHILADELPHIA,PA,19104,6030,101,215,2,D,E,802101,DENTISTS,62121003,OFFICES OF DENTISTS,,,,,,,,,,,23908,45,5645,9,2,,,,120738562,,,,,,,120738562,,9,008800,4,039.952498,-075.203049,0,37980,2,428,42101,2014
UNIVERSITY LUTHERAN CHURCH,3637 CHESTNUT ST,PHILADELPHIA,PA,19104,2670,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,2,,9,P,,,,120738646,,,,,,,,R,9,008900,3,039.954873,-075.195284,0,37980,2,428,42101,2014
UNIVERSITY CITY ARTS LEAGUE,4226 SPRUCE ST,PHILADELPHIA,PA,19104,4040,101,215,2,A,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,829919,ART INSTRUCTION & SCHOOLS,596104,E-COMMERCE,,,,,,,,4,,9,,,,,120738653,,,,,,,,,9,008700,3,039.952050,-075.208270,P,37980,2,428,42101,2014
UNIVERSITY CITY TOWNHOUSE,3990 MARKET ST,PHILADELPHIA,PA,19104,3137,101,215,2,A,B,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,,,,,,,,,,,02906,4,968,9,,,,,120738711,,,,,,,,,9,008800,6,039.957055,-075.201891,0,37980,2,428,42101,2014
UNIVERSITY OF PENNSYLVANIA,3451 WALNUT ST # 100,PHILADELPHIA,PA,19104,6243,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",874213,MARKETING PROGRAMS & SERVICES,999966,FEDERAL GOVERNMENT CONTRACTORS,821103,SCHOOLS,,,,,,20,,3,B,1740,,,120738786,120738786,681184495,10,,C,,,,9,008900,3,039.953138,-075.194095,0,37980,2,428,42101,2014
UNIVERSITY SQUARE COMPLEX,3901 MARKET ST # 1936,PHILADELPHIA,PA,19104,3192,101,215,2,B,A,805904,RETIREMENT COMMUNITIES & HOMES,62331101,CONTINUING CARE RETIREMENT COMMUNITIES,999966,FEDERAL GOVERNMENT CONTRACTORS,653113,REAL ESTATE-RENTAL SERVICE,,,,,,,,8,475,2,D,,,,120738828,,497148460,300,,G,,,R,9,009100,4,039.956958,-075.199600,0,37980,2,428,42101,2014
DAVITA 42ND,4126 WALNUT ST,PHILADELPHIA,PA,19104,3511,101,215,2,E,E,809203,DIALYSIS,62149202,KIDNEY DIALYSIS CENTERS,801104,CLINICS,804907,NURSES-PRACTITIONERS,,,,,,,,50,7640,2,,,,,120738851,,886835255,120,,F,,120738851,,9,008700,2,039.954190,-075.206160,P,37980,2,428,42101,2014
WEISENTHAL PROPERTIES,4029 SPRUCE ST # 1,PHILADELPHIA,PA,19104,4239,101,215,2,A,B,653118,REAL ESTATE,53121003,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,70606,3,626,9,,,,,120739180,,,,,,,,,9,008800,4,039.952230,-075.204210,P,37980,2,428,42101,2014
WEST PHILA COMMUNITY CTR,3512 HAVERFORD AVE,PHILADELPHIA,PA,19104,1911,101,215,2,F,,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,62419012,OTHER INDIVIDUAL & FAMILY SERVICES,596104,E-COMMERCE,,,,,,,,,79000,100,,9,,,,,120739230,,,,,,,,,9,010900,4,039.963800,-075.193193,0,37980,2,428,42101,2014
WEST PHILADELPHIA LOCKSMITH CO,31 S 42ND ST,PHILADELPHIA,PA,19104,3078,101,215,2,C,C,769962,LOCKS & LOCKSMITHS,56162204,LOCKSMITHS,504418,SAFES & VAULTS (WHLS),999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,48408,10,1420,9,A,1975,,,120739289,,,,,,,,,9,008700,1,039.956384,-075.206167,0,37980,2,428,42101,2014
WEST SIDE AUTO BODY,1229 BELMONT AVE,PHILADELPHIA,PA,19104,1034,101,215,2,B,B,753201,AUTOMOBILE BODY-REPAIRING & PAINTING,81112102,"AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT",,,,,,,,,,,04606,5,676,9,,,,,120739297,,,,,,,,,9,011000,2,039.974340,-075.212000,P,37980,2,428,42101,2014
WHITE DOG CAFE,3420 SANSOM ST,PHILADELPHIA,PA,19104,3404,101,215,2,F,D,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,100,4678,9,,1983,,,120739339,,,,,,,,,9,008900,3,039.953520,-075.192930,P,37980,2,428,42101,2014
WOLFF CYCLE CO,4311 LANCASTER AVE,PHILADELPHIA,PA,19104,1303,101,215,2,A,A,594141,BICYCLES-DEALERS,45111006,SPORTING GOODS STORES,,,,,,,,,,,07923,2,357,9,,1932,,,120739479,,,,,,,,,9,010700,6,039.968250,-075.210060,P,37980,2,428,42101,2014
BEST HOUSE PIZZERIA,4301 BALTIMORE AVE,PHILADELPHIA,PA,19104,4413,101,215,2,A,A,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,581208,RESTAURANTS,,,,,,,,,66000,4,187,9,,,,,120739537,,,,,,,,,9,008700,4,039.949720,-075.209390,P,37980,2,428,42101,2014
GOLDEN DRAGON,4004 W GIRARD AVE,PHILADELPHIA,PA,19104,1032,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,2,93,9,,,,,120739560,,,,,,,,,9,011000,3,039.973800,-075.204570,P,37980,2,428,42101,2014
YOUTH SERVICE INC,410 N 34TH ST,PHILADELPHIA,PA,19104,2496,101,215,2,E,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,50,,9,,,,,120739602,,,,,,,,,9,009000,5,039.962026,-075.191374,0,37980,2,428,42101,2014
PENN PRESBYTERIAN MEDICAL CTR,51 N 39TH ST,PHILADELPHIA,PA,19104,2692,101,215,2,I,I,806202,HOSPITALS,62211002,GENERAL MEDICAL & SURGICAL HOSPITALS,801101,PHYSICIANS & SURGEONS,,,,,,,,,41808,1700,242146,9,E,1871,,,120803754,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
MIDAS AUTO SVC EXPERTS,4138 MARKET ST # 52,PHILADELPHIA,PA,19104,3004,101,215,2,B,B,753801,AUTOMOBILE REPAIRING & SERVICE,81111104,GENERAL AUTOMOTIVE REPAIR,754903,AUTOMOBILE LUBRICATION SERVICE,753914,BRAKE SERVICE,753301,MUFFLERS & EXHAUST SYSTEMS-ENGINE,553123,TIRE-DEALERS-RETAIL,553106,AUTOMOBILE AIR CONDITIONING EQUIPMENT,05202,6,764,2,I,,,,120937586,508383106,001912617,200,,F,,,,9,008700,1,039.957310,-075.205600,P,37980,2,428,42101,2014
,3901 MARKET ST # 1935,PHILADELPHIA,PA,19104,3192,101,215,1,A,A,811103,ATTORNEYS,54111002,OFFICES OF LAWYERS,,,,,,,,,,,46404,2,228,9,F,,,,120997663,,,,,,,,R,9,009100,4,039.956958,-075.199600,0,37980,2,428,42101,2014
HORIZON HOUSE INC,120 S 30TH ST,PHILADELPHIA,PA,19104,2896,101,215,2,I,I,809305,MENTAL HEALTH CLINICS,62142002,OUTPATIENT MENTAL HEALTH & SUBSTANCE ABUSE CTRS,833102,REHABILITATION SERVICES,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,1200,115460,9,,1952,,,121058580,,,,,,,121058580,,9,008900,1,039.953085,-075.183845,0,37980,2,428,42101,2014
POWELTON PIZZA & DELI,3635 LANCASTER AVE,PHILADELPHIA,PA,19104,2603,101,215,2,D,C,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,581208,RESTAURANTS,,,,,,,,,66000,25,1169,9,,,,,121118574,,,,,,,,,9,009100,3,039.959230,-075.194480,P,37980,2,428,42101,2014
STACY'S PIZZA,4201 MARKET ST,PHILADELPHIA,PA,19104,3005,101,215,2,A,A,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,581208,RESTAURANTS,,,,,,,,,66000,3,140,9,,,,,177576451,,,,,,,,,9,009200,4,039.957748,-075.206044,0,37980,2,428,42101,2014
40TH STREET CORP,105 S 40TH ST,PHILADELPHIA,PA,19104,3067,101,215,2,B,C,653108,REAL ESTATE MANAGEMENT,53121005,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,70706,5,1043,9,,,,,178055554,,,,,,,,,9,008800,6,039.955471,-075.202182,0,37980,2,428,42101,2014
PHILADELPHIA TRADING POST,4021 MARKET ST,PHILADELPHIA,PA,19104,3002,101,215,2,A,A,593202,ANTIQUES-DEALERS,45331001,USED MERCHANDISE STORES,593217,FURNITURE-USED,533102,TRADING POSTS,571216,FURNITURE-DEALERS-RETAIL,,,,,02802,3,249,9,,1951,,,179586508,,,,,,,,,9,009200,4,039.957530,-075.202780,P,37980,2,428,42101,2014
PENNROSE MANAGEMENT INC,3801 SPRING GARDEN ST,PHILADELPHIA,PA,19104,2381,101,215,2,A,B,874201,BUSINESS MANAGEMENT CONSULTANTS,54161401,"PROCESS, PHYSICAL DISTR/LOGISTICS CONSULTING SVCS",,,,,,,,,,,49800,4,857,9,,,,,203999818,,,,,,,,,9,010800,4,039.962470,-075.198270,P,37980,2,428,42101,2014
MARATHON EMBROIDERY CO INC,3600 CHESTNUT ST,PHILADELPHIA,PA,19104,6106,101,215,2,A,A,569917,T-SHIRTS-RETAIL,44819029,OTHER CLOTHING STORES,,,,,,,,,,,83007,3,401,9,,,,,205084361,,,,,,,,,9,008900,3,039.954712,-075.195598,0,37980,2,428,42101,2014
ABRAMSON CANCER CTR-UNIV-PA,3400 SPRUCE ST # 1600,PHILADELPHIA,PA,19104,4238,101,215,2,G,H,806906,CANCER TREATMENT CENTERS,62231005,SPECIALTY (EXC PSYCHIATRIC/SUBSTANCE ABUSE) HSPTL,801101,PHYSICIANS & SURGEONS,,,,,,,,,,450,63248,9,H,,,,208319988,,,,,,,208319988,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
UNIVERSITY-PA ALLERGY,51 N 39TH ST # 5,PHILADELPHIA,PA,19104,2640,101,215,2,C,,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),912104,"GOVERNMENT OFFICES-CITY, VILLAGE & TWP",,,,,,,,,,13,,9,A,,,,208320044,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
VASCULAR INTERVENTIONAL RDLGY,3400 SPRUCE ST,PHILADELPHIA,PA,19104,4238,101,215,2,D,E,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,48,8421,9,2,,,,208320879,,,,,,,208320879,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
STAN'S TIRES,4420 MARKET ST,PHILADELPHIA,PA,19104,2909,101,215,2,A,A,553123,TIRE-DEALERS-RETAIL,44132001,TIRE DEALERS,,,,,,,,,,,86406,1,172,9,,,,,209024496,,,,,,,,,9,008700,6,039.957990,-075.209900,P,37980,2,428,42101,2014
FELIX DELI & GROCERY,3901 PENNSGROVE ST,PHILADELPHIA,PA,19104,1111,101,215,2,A,B,541105,GROCERS-RETAIL,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,,,,,,,,,,,39106,3,763,9,,,,,209252121,,,,,,,,,9,011000,4,039.972220,-075.201460,P,37980,2,428,42101,2014
RAVE-UNIVERSITY CITY PENN,4012 WALNUT ST,PHILADELPHIA,PA,19104,3514,101,215,2,F,F,783201,THEATRES-MOVIE,51213101,MOTION PICTURE THEATERS (EXCEPT DRIVE-INS),581208,RESTAURANTS,581301,BARS,,,,,,,54412,100,10000,2,,,,,209252477,482985652,633810353,300,,G,,209252477,,9,008800,5,039.954112,-075.203427,0,37980,2,428,42101,2014
LEWIS INSURANCE SVC,3237 POWELTON AVE,PHILADELPHIA,PA,19104,2722,101,215,2,A,B,641112,INSURANCE,52421001,INSURANCE AGENCIES & BROKERAGES,,,,,,,,,,,43406,3,558,9,,,,,209421908,,,,,,,,,9,009000,2,039.960630,-075.189280,P,37980,2,428,42101,2014
QUALITY CLEANERS,4401 WALNUT ST,PHILADELPHIA,PA,19104,2924,101,215,2,A,A,721201,CLEANERS,81232002,DRYCLEANING & LAUNDRY SVCS (EXCEPT COIN-OPERATED),,,,,,,,,,,18306,1,54,9,,,,,217825967,,,,,,,,,9,008700,6,039.955260,-075.210210,P,37980,2,428,42101,2014
